ID,NPC,Type,Target,FromPhase,ToPhase,Text,특이사항
NPC_114,아스터,,,2,2,누구보다 쓸쓸함을 잘 알기에….,
NPC_115,아스터,,,2,2,제가 당신의 친구가 되어주겠습니다!,
NPC_116,아스터,,,2,2,걱정하지 마세요! 추가요금은 없으니까요!,
NPC_117,아스터,,앞으로,2,2,이번 일을 통해 저도 많은 걸 느꼈습니다!,
NPC_118,아스터,,,2,2,다른 사신들은 다 생전의 이야기가 있더군요..,
NPC_119,아스터,,,2,2,그리고 전부는 아니지만…,
NPC_120,아스터,,,2,2,누군가는 그 시절을 그리워하는 것 같습니다!,
NPC_121,아스터,,,2,2,"아, 물론 저도 생전이 있었으면 좋았겠다는 뜻은 아닙니다!",
NPC_122,아스터,,,2,2,없는 걸 그리워하기는 어렵지 않습니까?,
NPC_123,아스터,,,2,2,다만…언젠가…,
NPC_124,아스터,,,2,2,지금을 그리워할 수는 있겠죠!,
NPC_125,아스터,,,2,2,그래서 지금을 아주 멋지게 살아보려 합니다!,
NPC_126,아스터,,,2,2,물론 당신과의 일도 멋진 추억으로 기억할거에요!,
NPC_127,아스터,Item,녹슨 검,0,2,비록 녹슬었지만… 쓸 순 있을겁니다!,
NPC_128,아스터,,화살통,0,2,화살통 안을 세척하는걸 까먹었네요!,
NPC_129,아스터,,세 번째 단검,0,2,물고 싸우면 이빨이 다 나가요!,
NPC_130,아스터,,소금물,0,2,제가 조금 적셔봤는데… 매우 짭니다!,
NPC_131,아스터,,부채,0,2,동쪽 어느 국가에서 유행하던 상품입니다!,
NPC_132,아스터,,생존 법칙,0,2,죽은 자들에게 생존 법칙이라… 재미있네요!,
NPC_133,아스터,,마법서,0,2,제가 가지려 했지만… 저는 마법에 재능이 없었습니다!,
NPC_134,아스터,,광기,0,2,떄로는 필요한 법이죠.,
NPC_135,아스터,,회중시계,0,2,정확히 2시간 34분 17초 느립니다! ,
NPC_136,아스터,,포도주,0,2,빈 병을 가져오셔도… 아무것도 없답니다!,
NPC_137,아스터,,주사위,0,2,매력적이죠!,
NPC_138,아스터,,마지막 잎새,0,2,이 아이템이 힘을 쓰는 상황은…. 절망적이네요.,
NPC_139,아스터,,안경,0,2,똑똑해지는 기분을 느껴보세요!,
NPC_140,아스터,,너클,0,2,힘이 솟아나는 기분을 느껴보세요!,
NPC_141,아스터,,담배,0,2,(속삭이며) 몰래 훔쳐왔습니다…!,
NPC_142,아스터,,Mr. FLOWER,0,2,이 친구에게 다시 태양을 보여주세요!,
NPC_143,아스터,,Miss. GHOST,0,2,이 친구에게 다시 밤을 보여주세요!,
NPC_144,아스터,,재봉틀,0,2,….. 동의 하에 판매하는겁니다!,
NPC_145,아스터,,솜뭉치,0,2,….. 저를 빤히 보지 마세요!,
NPC_146,아스터,Exit,,0,2,그럼 안녕히!,
NPC_147,오키드,Welcome,,0,0,"어서 와, 신참.",
NPC_148,오키드,,,0,0,"오, 이게 누구야.",
NPC_149,오키드,,,0,0,생각보다 멀쩡한데? 난 좀 더 지친 모습으로 올 줄 알았는데.,
NPC_150,오키드,,,0,0,농담이야.,
NPC_151,오키드,,,0,1,왔구나.,
NPC_152,오키드,,,0,1,요즘 너 이야기로 저승 중심가가 시끄럽더라.,
NPC_153,오키드,,,0,1,기분이 어때?,
NPC_154,오키드,,,0,2,"안녕, 신참. 아, 이제 아닌가…",
NPC_155,오키드,,,0,2,못보던 사이에..,
NPC_156,오키드,,,0,2,뭔가 많은 걸 경험한 것 같네. 성장했어.,
NPC_157,오키드,,,0,2,"뭐, 그래도…",
NPC_158,오키드,,,0,2,난 부르던 대로 부를게.,
NPC_159,오키드,,,0,2,어서 와. 신참.,
NPC_160,오키드,Question,너는 누구야?,0,0,너? 이야…당돌하네.,
NPC_161,오키드,,,0,0,마음에 들어.,
NPC_162,오키드,,,0,0,난 오키드야. 옆에 분위기 잡는 녀석 보이지?,
NPC_163,오키드,,,0,0,그 녀석의 작품들에….,
NPC_164,오키드,,,0,0,아주 조금의 '생기'를 불어주지.,
NPC_165,오키드,,여기는 어디야?,0,0,아마 녀석에게 '지원'을 받았을거야.,
NPC_166,오키드,,,0,0,그런 작품들의 외형을 조금 바꿀 수 있어.,
NPC_167,오키드,,,0,0,걱정하지마.,
NPC_168,오키드,,,0,0,성능의 차이는 일부러 만들지 않았어.,
NPC_169,오키드,,릴리,0,0,"풉. 미안, 그녀석 생각만 하면 웃음이 나와서.",
NPC_170,오키드,,,0,0,내 제자야.,
NPC_171,오키드,,,0,0,아마 마지막이 될 제자.,
NPC_172,오키드,,,0,0,아 걱정하지마. 별다른 이유가 아니라..,
NPC_173,오키드,,,0,0,내가 귀찮거든.,
NPC_174,오키드,,,0,0,혹시 그 녀석이 내 이야기 하지 않았니?,
NPC_175,오키드,,,0,0,안 했다고?,
NPC_176,오키드,,,0,0,…,
NPC_177,오키드,,과거,1,1,음… 예전에는 너처럼 직접 임무를 받았어.,
NPC_178,오키드,,,1,1,저기 문 앞에 사신 보이지?,
NPC_179,오키드,,,1,1,그 녀석과 동기야.,
NPC_180,오키드,,,1,1,"얼음이 녹지 않는 호수, 끝없는 사막, 기계 도시… 수많은 곳을 다녀왔지.",
NPC_181,오키드,,,1,1,너도 아마 가보게 될 거야.,
NPC_182,오키드,,담배,1,1,"아, 이거?",
NPC_183,오키드,,,1,1,밀수품이야.,
NPC_184,오키드,,,1,1,옆에서 이야기 못 들었어?,
NPC_185,오키드,,,1,1,생전에 피던 담배는 불편하기 짝이 없었는데..,
NPC_186,오키드,,,1,1,이건 편하더라.,
NPC_187,오키드,,,1,1,잠깐… 왜 두 보루가 비는거야?,
NPC_188,오키드,,,1,1,(옆에서 어색한 인형의 기침 소리가 들린다.),
NPC_189,오키드,,마리골드,1,1,"응, 아스포델에겐 릴리가 있다면…",
NPC_190,오키드,,,1,1,나에겐 마리골드가 있지. 그 녀석도 내 제자야.,
NPC_191,오키드,,,1,1,"아, 걱정하지마. 난 실수같은건 하지 않아.",
NPC_192,오키드,,,1,1,그나저나… 그 녀석 요즘도 벌레랑 노래부르고 다니니?,
NPC_193,오키드,,아스포델,2,2,묘하네…,
NPC_194,오키드,,,2,2,실수를 저지른 게 그 녀석이 아닌 나였다면…,
NPC_195,오키드,,,2,2,권능마저 빼앗겼던 게 나였다면….,
NPC_196,오키드,,,2,2,하하..  나라고 별수 있었을까 싶긴 해.,
NPC_197,오키드,,,2,2,같이 임무를 나가던게 엊그제 같은데 말이지…,
NPC_198,오키드,,,2,2,…...,
NPC_199,오키드,,,2,2,"아, 그렇다고 그 녀석이 잘했다는 건 아니야.",
NPC_200,오키드,,,2,2,쌤통이지.,
NPC_201,오키드,,,2,2,(잠시 말없이 담배를 문다.),
NPC_202,오키드,,앞으로,2,2,원래는 릴리랑 같이 중심지로 가려 했는데.,
NPC_203,오키드,,,2,2,"그 녀석, 여행을 좀 해보고 싶다더라고.",
NPC_204,오키드,,,2,2,"뭐, 나도 예전에는 여기저기 쏘다녔으니까.",
NPC_205,오키드,,,2,2,말릴 이유는 없지.,
NPC_206,오키드,,,2,2,….,
NPC_207,오키드,,,2,2,제자가 스승 품을 떠날 때도 된 거고.,
NPC_208,오키드,,,2,2,보고싶으면 가끔 와.,
NPC_209,오키드,Skin,시리즈-곤충 이야기,0,2,(그녀가 음악을 좋아하는 제자와 함께 만든 시리즈. 왠지 모를 흥겨움이 느껴진다.),
NPC_210,오키드,,사슴벌레 (기사),0,2,"난 장수풍뎅이가 더 마음에 들었는데, 그 녀석은 다르더라.",
NPC_211,오키드,,사마귀 (도적),0,2,뭔가 멋진걸 만들고 싶었는데… 하하.,
NPC_212,오키드,,잠자리 (궁수),0,2,눈도 좋고 빠르기도 하고. 어울리지 않아?,
NPC_213,오키드,,반딧불이 (마법사),0,2,그들의 마법은 실제로도 너무 눈부셔. 현실고증이지.,
NPC_214,오키드,,꿀벌 (사제),0,2,"부지런함.. 뭐, 틀린 말은 아니지. ",
NPC_215,오키드,,쇠똥구리 (스캐빈저),0,2,잘 어울리지?,
NPC_216,오키드,,나비 (무희),0,2,그 녀석과 나의 의견이 일치한 기념비적인 작품이지.,
NPC_217,오키드,,매미 (광신도),0,2,그 녀석은 이것도 좋아하더라.,
NPC_218,오키드,,시리즈-왕국,1,2,"(그녀가 왕국의 정보를 입수하여 제작한 시리즈, 그녀는 이것마저 기억하려 했다.)",
NPC_219,오키드,,교관(기사),1,2,"어때, 잘 어울리지?",
NPC_220,오키드,,서기관(궁수),1,2,맘에 들었다면 어서 사도록 해.,
NPC_221,오키드,,영생 귀족(스케빈져),1,2,나름 비슷한 느낌도 들고…,
NPC_222,오키드,,실험체(도적),1,2,…..,
NPC_223,오키드,,융합체(무희),1,2,…..,
NPC_224,오키드,,교황(사제),1,2,정말 잘 어울리는 거 같아.,
NPC_225,오키드,,문(마법사),1,2,….이게 최선이었어.,
NPC_226,오키드,,왕 (광신도),1,2,음… 별로니?,
NPC_227,오키드,,시리즈-사신,2,2,"(그녀가 소중히 여긴 동료들을 본 떠 만든 시리즈, 잊지 말자.)",
NPC_228,오키드,,꼬마 사신(기사),2,2,우리 신참을 본떴어. 마음에 들어?,
NPC_229,오키드,,아스포델(도적),2,2,잊지는 말자.,
NPC_230,오키드,,마리골드(궁수),2,2,활시위를 튕기는 것 조차 음악이라고 할 녀석이지. 재밌어.,
NPC_231,오키드,,릴리(마법사),2,2,릴리는 이걸 보고 피식 웃더라. 당연하지.,
NPC_232,오키드,,유(사제),2,2,음… 이제는.. 문제 없을거야. 잘 어울리네.,
NPC_233,오키드,,아스터(스캐빈저),2,2,"(옆에서 매우 기쁜 소리가 들린다. ""아아! 감동입니다! 저 또한 당신을 잊지 않겠습니다!"")",
NPC_234,오키드,,오키드(무희),2,2,뭐. 내 맘이야.,
NPC_235,오키드,,히아신스(광신도),2,2,이 옷을 만들고 그녀에게 보여주니 아무 말 없이 웃어주었어.,
NPC_236,오키드,Exit,,0,2,잘 가. 신참.,
NPC_237,마리골드,Welcome,,0,0,왔네.,
NPC_238,마리골드,,,0,0,마침 손이 심심하던 참이야.,
NPC_239,마리골드,,,0,0,듣고 싶은 곡 있어?,
NPC_240,마리골드,,,1,1,자-.,
NPC_241,마리골드,,,1,1,"왕국에는 다시 죽음이 돌아왔고,",
NPC_242,마리골드,,,1,1,우리의 위대한 임무는 마침내 막을 내렸다-,
NPC_243,마리골드,,,1,1,…..라고 하기엔 다들 아직 안 갔네.,
NPC_244,마리골드,,,1,1,뭐 들을래?,
NPC_245,마리골드,,,2,2,왔네.,
NPC_246,마리골드,,,2,2,왜 이상한 대사 말 안하냐고?,
NPC_247,마리골드,,,2,2,….,
NPC_248,마리골드,,,2,2,나도 분위기는 읽을 줄 알거든.,
NPC_249,마리골드,,(마스터 볼륨 또는 BGM 볼륨이 0일 때),0,2,….,
NPC_250,마리골드,,,0,2,너무하네.,
NPC_251,마리골드,,,0,2,지금 노래가 별로면… 다른걸 연주해 줄게!,
NPC_252,마리골드,Question,너는 누구야?,0,0,호오. 우리 바로 말 놓는거지?,
NPC_253,마리골드,,,0,0,좋아.,
NPC_254,마리골드,,,0,0,난 마리골드.,
NPC_255,마리골드,,,0,0,왕국의 위대한 음악가이자....,
NPC_256,마리골드,,,0,0,행복한 사신이지. 잘 부탁한다.,
NPC_257,마리골드,,음악가?,0,0,"맞아. 난 여기저기 돌아다니며 연주하고…떠나고,",
NPC_258,마리골드,,,0,0,환호와 함성 속에서 여생을 보냈지.,
NPC_259,마리골드,,,0,0,너무 부러워하진 말라고.,
NPC_260,마리골드,,하는 일이 뭐야?,0,0,이야… 이거 내 스승님이 자주 하시던 말씀인데.,
NPC_261,마리골드,,,0,0,보다시피 난 여기서 연주를 하고 있지.,
NPC_262,마리골드,,,0,0,"너가 힘든 여정을 마치고 돌아왔을때,",
NPC_263,마리골드,,,0,0,조금이나마 힘이 되어 주었으면 해.,
NPC_264,마리골드,,,0,0,"혹시나 원하는 음악이 있다면,",
NPC_265,마리골드,,,0,0,말만 해. 내 실력을 보여줄게.,
NPC_266,마리골드,,오키드,1,1,내 스승이지.,
NPC_267,마리골드,,,1,1,실력 하나는 확실하셔.,
NPC_268,마리골드,,,1,1,"내가 죽어 더 이상 연주를 하지 못하게 되었을 때,",
NPC_269,마리골드,,,1,1,그녀가 나에게 새로운 삶을 주었지.,
NPC_270,마리골드,,,1,1,물론 이 기타도 같이!,
NPC_271,마리골드,,히아신스,1,1,"음음! 그래, 이 분에 대한 이야기도 빼 놓을 순 없지.",
NPC_272,마리골드,,,1,1,훌륭한 관객이셔.,
NPC_273,마리골드,,,1,1,(소근거리며)반응이 좀 없으신거 빼고.,
NPC_274,마리골드,,,1,1,그래도 가끔씩 웃어주시던데?,
NPC_275,마리골드,,음악,2,2,음악은 내 삶이자 곧 나야.,
NPC_276,마리골드,,,2,2,"좀 오글거리긴 한데,",
NPC_277,마리골드,,,2,2,생전에 이렇게라도 말하지 않으면 버티기 힘들더라.,
NPC_278,마리골드,,,2,2,아무리 배가 고프고 힘들어도…,
NPC_279,마리골드,,,2,2,유명하지 않았냐고?,
NPC_280,마리골드,,,2,2,"맞지, 근데 돈을 잘 벌었다고는 안 했어.",
NPC_281,마리골드,,아스포델,2,2,스승님과 동기였다고 들었어.,
NPC_282,마리골드,,,2,2,"만약 나에게서 음악을 빼앗아 갔다면,",
NPC_283,마리골드,,,2,2,나 또한 비슷한 심정이었겠지.,
NPC_284,마리골드,,,2,2,….,
NPC_285,마리골드,,,2,2,그래도 그걸 위해 다른 사람의 무대를 망쳐선 안 되겠지.,
NPC_286,마리골드,,,2,2,비극적이네.,
NPC_287,마리골드,,앞으로,2,2,히아신스씨가 남부 마을로 발령이 나셨어.,
NPC_288,마리골드,,,2,2,그 이야기를 왜 하나고?,
NPC_289,마리골드,,,2,2,남부 마을은 음악과 춤의 도시야.,
NPC_290,마리골드,,,2,2,"그 말인 즉슨, 내가 빠질 수 없다는 거지.",
NPC_291,마리골드,,,2,2,가서 다시 살아날 만큼 멋진 공연을 보여줄게.,
NPC_292,마리골드,,,2,2,한 번 놀러와.,
NPC_293,마리골드,Music,마을 Dismantled,0,2,"음, 이거 좋지.",
NPC_294,마리골드,,캐릭터 상점 OST 2 - Harmonic Magic (Loopable),0,2,이것도 좋지,
NPC_295,마리골드,,아이템 상점 OST 1 - Sunset Serenade (Loopable),0,2,내 기타를 고치러 한번 간 적이 있었어.,
NPC_296,마리골드,,스킨 상점 OST 3 - Strings of Resonance (Loopable),0,2,좋은 노래야.,
NPC_297,마리골드,,메모리얼  OST 5 - Celestial Dreams (Loopable),0,2,(옆에서 누군가 싱긋 웃어주었다.),
NPC_298,마리골드,,업적 OST 4 - In the Torchlight,0,2,최선을 다 해볼게.,
NPC_299,마리골드,,브금 변경 OST 2 - Tale of the Wanderer (Loopable),0,2,하하. 보는 눈이 있네.,
NPC_300,마리골드,,Dismantled (Guitar Version),0,2,"오, 진심이야? ",
NPC_301,마리골드,,Dismantled (Piano Version),0,2,가끔은 차분하게.,
NPC_302,마리골드,,OST 3 - A Rest at Last (Loopable),0,2,멋진 노래야.,
NPC_303,마리골드,Exit,,0,2,다음에 또 보자고.,
NPC_304,히아신스,Welcome,,0,0,반가워요.,
NPC_305,히아신스,,,0,0,다시 보고 싶은 기억이 있으신가요?,
NPC_306,히아신스,,,1,1,돌아오셨군요.,
NPC_307,히아신스,,,1,1,다시 보고 싶은 기억이 있으신가요?,
NPC_308,히아신스,,,2,2,마지막이네요.,
NPC_309,히아신스,,,2,2,떠나기 전에 보고 싶은 것이 있다면 말씀해주세요.,
NPC_310,히아신스,,(마스터 볼륨 또는 BGM 볼륨이 0일 때),0,0,….,
NPC_311,히아신스,,,0,0,가끔은 음악을 듣는 건 어떨까요?,
NPC_312,히아신스,,,0,0,아마 누군가 속상해 할 겁니다.,
NPC_313,히아신스,,,0,0,…..,
NPC_314,히아신스,,,0,0,(그녀가 어색하게 웃어 보았다.),
NPC_315,히아신스,Question,너는 누구야?,0,0,히아신스에요.,
NPC_316,히아신스,,,0,0,이곳에 남겨진 기억을 관리하고 있어요.,
NPC_317,히아신스,,,0,0,"당신의 여정에서 인연이 닿은 자들의 기억을 보관하고,",
NPC_318,히아신스,,,0,0,원할 때 다시 볼 수 있도록 관리하는 일이죠.,
NPC_319,히아신스,,,0,0,당신도 예외는 아니랍니다. (웃음),
NPC_320,히아신스,,여긴 어디야?,0,0,수많은 꽃과 풀이 얽혀있는 곳이에요.,
NPC_321,히아신스,,기억?,0,0,죽음은 존재 양식의 변화랍니다.,
NPC_322,히아신스,,,0,0,죽었다고 모든 기억이 사라지는건 아니에요.,
NPC_323,히아신스,,,0,0,저는 그 중 일부를 보관하고 있습니다.,
NPC_324,히아신스,,,0,0,"너무 긴 여정에 갈 곳을 잃었을 때,",
NPC_325,히아신스,,,0,0,다시금 꺼내어 보아 갈 곳을 알려줄…,
NPC_326,히아신스,,,0,0,그런 기억들 말이에요.,
NPC_327,히아신스,,,0,0,물론 제 마음대로 들여다보지는 않아요.,
NPC_328,히아신스,,,0,0,선택은 당신의 몫이랍니다. (웃음),
NPC_329,히아신스,,마리골드,1,1,음… 조금 시끄럽긴 하지만…,
NPC_330,히아신스,,,1,1,분명 좋은 분이에요.,
NPC_331,히아신스,,,1,1,(옆에서 투덜대는 소리가 들린다.),
NPC_332,히아신스,,,1,1,장난이에요.,
NPC_333,히아신스,,아스포델,1,1,다른 사신분들은 적어도 한 번 씩은 기억을 보러 오셨어요.,
NPC_334,히아신스,,,1,1,그런데…,
NPC_335,히아신스,,,1,1,어째서인지 아스포델씨는 한번도 오지 않았어요.,
NPC_336,히아신스,,,1,1,…..,
NPC_337,히아신스,,,1,1,그 이유는 저도 모른답니다. ,
NPC_338,히아신스,,,1,1,어째서인지 아스포델씨는 한번도 오지 않았어요.,
NPC_339,히아신스,,앞으로,2,2,아스포델 씨가 사라진 건 알고 계시죠?,
NPC_340,히아신스,,,2,2,"얼마 전, 그분이 남긴 흔적을 하나 발견했어요.",
NPC_341,히아신스,,,2,2,아주 희미하지만… 남쪽으로 이어지고 있었답니다.,
NPC_342,히아신스,,,2,2,"아직 임무가 내려진 건 아니지만,",
NPC_343,히아신스,,,2,2,한 발 빠르게 움직일까 해요.,
NPC_344,히아신스,,,2,2,…..,음악 음소거
NPC_345,히아신스,,,2,2,잠시만요… 아직….,
NPC_346,히아신스,,,2,2,(그녀가 펜과 종이를 꺼낸다.),
NPC_347,히아신스,,,2,2,(떨리는 손으로 글을 써 내려갔다. 마치 누군가를 의식하는 듯 보인다.),
NPC_348,히아신스,,,2,2,(당신은 직감적으로 그 '누군가'가 마리골드는 아닐 것이란 걸 눈치채었다.) ,
NPC_349,히아신스,,,2,2,…..,
NPC_350,히아신스,,,2,2,(당신은 그 쪽지를 읽어 보았다.),
NPC_351,히아신스,,,2,2,"""최근 로즈와 '빛'과 관련한 이상현상에 대하여 편지를 주고 받았었어요.""",
NPC_352,히아신스,,,2,2,"""뭔지 모를 같은 말만 반복하는 자들. 그들의 진술에서 동일하게 언급된 내용이 있어요.""",
NPC_353,히아신스,,,2,2,"""밝은 빛, 깜빡임, 점멸""",
NPC_354,히아신스,,,2,2,"""그리고….""",
NPC_355,히아신스,,,2,2,"""누군가 듣고 있다.""",
